323	text/h323
voc	audio/x-voc
wav	audio/x-wav
pdb	chemical/x-pdb
xyz	chemical/x-pdb
ttf font/ttf
otf font/otf
woff2 font/woff2
woff font/woff
bm	image/bmp
bmp	image/bmp
cod	image/cis-cod
rast	image/cmu-raster
fif	image/fif
flo	image/florian
turbot	image/florian
g3	image/g3fax
gif	image/gif
ief	image/ief
iefs	image/ief
jp2	image/jp2
jfif	image/jpeg
jfif-tbnl	image/jpeg
jpe	image/jpeg
jpeg	image/jpeg
jpg	image/jpeg
jut	image/jutvision
nap	image/naplps
naplps	image/naplps
nef	image/nef
pic	image/pict
png	image/png
x-png	image/png
svg	image/svg+xml
svgz	image/svg+xml
tif	image/tiff
tiff	image/tiff
dwg	image/vnd.dwg
svf	image/vnd.dwg
fpx	image/vnd.fpx
rf	image/vnd.rn-realflash
rp	image/vnd.rn-realpix
wbmp	image/vnd.wap.wbmp
xif	image/vnd.xiff
ras	image/x-cmu-raster
cmx	image/x-cmx
dxf	image/x-dwg
ico	image/x-icon
art	image/x-jg
jps	image/x-jps
pntg	image/x-macpaint
nif	image/x-niff
niff	image/x-niff
pcx	image/x-pcx
pct	image/x-pict
pict	image/x-pict
pnm	image/x-portable-anymap
pbm	image/x-portable-bitmap
pgm	image/x-portable-graymap
ppm	image/x-portable-pixmap
qif	image/x-quicktime
qti	image/x-quicktime
qtif	image/x-quicktime
rgb	image/x-rgb
sgi	image/x-sgi
targa	image/x-targa
xbm	image/x-xbitmap
xpm	image/x-xpixmap
xwd	image/x-xwindowdump
ivr	i-world/i-vrml
mht	message/rfc822
mhtml	message/rfc822
mime	message/rfc822
nws	message/rfc822
iges	model/iges
igs	model/iges
dwf	model/vnd.dwf
pov	model/x-pov
pvu	paleovu/x-pv
asp	text/asp
ics	text/calendar
appcache text/cache-manifest
manifest text/cache-manifest
css	text/css
acgi	text/html
body	text/html
htm	text/html
html	text/html
htmls	text/html
htx	text/html
shtml	text/html
stm	text/html
uls	text/iuls
pas	text/pascal
bas	text/plain
bed	text/plain
c++	text/plain
cc	text/plain
conf	text/plain
cxx	text/plain
def	text/plain
g	text/plain
gff	text/plain
gtf	text/plain
h	text/plain
hh	text/plain
idc	text/plain
list	text/plain
log	text/plain
lst	text/plain
mar	text/plain
md text/markdown
properties	text/plain
sdml	text/plain
sql	text/plain
text	text/plain
txt	text/plain
rt	text/richtext
sct	text/scriptlet
wsc	text/scriptlet
sgm	text/sgml
sgml	text/sgml
tsv	text/tab-separated-values
csv	text/comma-separated-values
uni	text/uri-list
unis	text/uri-list
uri	text/uri-list
uris	text/uri-list
abc	text/vnd.abc
flx	text/vnd.fmi.flexstor
wml	text/vnd.wap.wml
wmls	text/vnd.wap.wmlscript
htt	text/webviewhtml
asm	text/x-asm
s	text/x-asm
aip	text/x-audiosoft-intra
c	text/x-c
cpp	text/x-c
htc	text/x-component
f	text/x-fortran
f77	text/x-fortran
f90	text/x-fortran
for	text/x-fortran
jav	text/x-java-source
java	text/x-java-source
jsp	text/x-jsp-source
lsx	text/x-la-asf
m	text/x-m
xml	text/xml
xsl	text/xml
iqy	text/x-ms-iqy
rqy	text/x-ms-rqy
p	text/x-pascal
hlb	text/x-script
el	text/x-script.elisp
pl	text/x-script.perl
pm	text/x-script.perl-module
py	text/x-script.phyton
r	text/x-script.r
rexx	text/x-script.rexx
tcsh	text/x-script.tcsh
zsh	text/x-script.zsh
ssi	text/x-server-parsed-html
etx	text/x-setext
spc	text/x-speech
talk	text/x-speech
uil	text/x-uil
uu	text/x-uuencode
uue	text/x-uuencode
vcs	text/x-vcalendar
vcf	text/x-vcard
afl	video/animaflex
avs	video/avs-video
flc	video/flc
m1v	video/mpeg
m2v	video/mpeg
mpe	video/mpeg
mpeg	video/mpeg
mpg	video/mpeg
mpv2	video/mpeg2
ogv video/ogg
moov	video/quicktime
mov	video/quicktime
qt	video/quicktime
vdo	video/vdo
rv	video/vnd.rn-realvideo
viv	video/vnd.vivo
vivo	video/vnd.vivo
vos	video/vosaic
webm video/webm
xdr	video/x-amt-demorun
xsr	video/x-amt-showrun
fmf	video/x-atomic3d-feature
dl	video/x-dl
dif	video/x-dv
dv	video/x-dv
fli	video/x-fli
gl	video/x-gl
isu	video/x-isvideo
lsf	video/x-la-asf
mjpg	video/x-motion-jpeg
asf	video/x-ms-asf
asr	video/x-ms-asf
avi	video/x-msvideo
qtc	video/x-qtc
avx	video/x-rad-screenplay
scm	video/x-scm
movie	video/x-sgi-movie
mv	video/x-sgi-movie
wmf	windows/metafile
ice	x-conference/x-cooltalk
xgz	xgl/drawing
xmz	xgl/movie
3dm	x-world/x-3dmf
3dmf	x-world/x-3dmf
qd3	x-world/x-3dmf
qd3d	x-world/x-3dmf
svr	x-world/x-svr
flr	x-world/x-vrml
vrml	x-world/x-vrml
wrl	x-world/x-vrml
wrz	x-world/x-vrml
xaf	x-world/x-vrml
xof	x-world/x-vrml
vrt	x-world/x-vrt
patch text/plain
bat text/plain
cmd text/plain
ipr text/xml
iml text/xml
iws text/xml
rss application/rss+xml
